,,amount,amount,no_of_donors,no_of_donors
,,sum,mean,sum,mean
CALDAS,VILLAMARIA,53300000.0,26650000.0,7,3.5
CAQUETA,ALBANIA,25700000.0,12850000.0,5,2.5
CAQUETA,BELEN DE LOS ANDAQUIES,23500000.0,11750000.0,9,4.5
CAQUETA,CARTAGENA DEL CHAIRA,20100000.0,10050000.0,4,2.0
CAQUETA,CURILLO,5000000.0,5000000.0,1,1.0
CAQUETA,EL DONCELLO,29187050.0,29187050.0,5,5.0
CAQUETA,EL PAUJIL,1200000.0,600000.0,2,1.0
CAQUETA,FLORENCIA,474464290.0,79077381.66666667,30,5.0
CAQUETA,MORELIA,30700000.0,30700000.0,6,6.0
CAQUETA,PUERTO RICO,100000.0,100000.0,1,1.0
CAQUETA,SAN JOSE DEL FRAGUA,7000000.0,7000000.0,1,1.0
CAQUETA,SAN VICENTE DEL CAGUAN,7700000.0,7700000.0,2,2.0
CAQUETA,SOLANO,5550000.0,5550000.0,7,7.0
CAQUETA,SOLITA,15350000.0,7675000.0,5,2.5
CAQUETA,VALPARAISO,200000.0,200000.0,1,1.0
CASANARE,AGUAZUL,74950000.0,18737500.0,15,3.75
CASANARE,CHAMEZA,2630000.0,1315000.0,3,1.5
CASANARE,HATO COROZAL,91308000.0,45654000.0,34,17.0
CASANARE,MONTERREY,31357231.0,15678615.5,5,2.5
CASANARE,NUNCHIA,62700000.0,62700000.0,8,8.0
CASANARE,PAZ DE ARIPORO (MORENO),135856100.0,33964025.0,19,4.75
CASANARE,PORE,51050000.0,12762500.0,10,2.5
CASANARE,SABANALARGA,3404800.0,3404800.0,2,2.0
CASANARE,SACAMA,23000000.0,11500000.0,6,3.0
CASANARE,SAN LUIS DE PALENQUE,94000000.0,31333333.333333332,20,6.666666666666667
CASANARE,TAMARA,76600000.0,38300000.0,6,3.0
CASANARE,YOPAL,335287523.0,37254169.222222224,57,6.333333333333333
CAUCA,ALMAGUER,26400000.0,26400000.0,3,3.0
CAUCA,BALBOA,88000000.0,44000000.0,6,3.0
CAUCA,BOLIVAR,51000000.0,51000000.0,5,5.0
CAUCA,CAJIBIO,21420000.0,10710000.0,4,2.0
CAUCA,CALDONO,31091400.0,15545700.0,4,2.0
CAUCA,CALOTO,51610000.0,51610000.0,26,26.0
