,,amount,amount,no_of_donors,no_of_donors
ANTIOQUIA,RETIRO,7000000.0,2333333.3333333335,4,1.3333333333333333
ANTIOQUIA,RIONEGRO,407020000.0,81404000.0,82,16.4
ANTIOQUIA,SABANALARGA,11400000.0,3800000.0,5,1.6666666666666667
ANTIOQUIA,SABANETA,319250000.0,159625000.0,32,16.0
ANTIOQUIA,SALGAR,22400000.0,5600000.0,9,2.25
ANTIOQUIA,SAN ANDRES,3000000.0,3000000.0,1,1.0
ANTIOQUIA,SAN CARLOS,84100000.0,28033333.333333332,11,3.6666666666666665
ANTIOQUIA,SAN FRANCISCO,1000000.0,1000000.0,1,1.0
ANTIOQUIA,SAN JERONIMO,2800000.0,1400000.0,3,1.5
ANTIOQUIA,SAN JOSE DE LA MONTAÑA,21400000.0,10700000.0,6,3.0
ANTIOQUIA,SAN JUAN DE URABA,59302348.0,14825587.0,18,4.5
ANTIOQUIA,SAN LUIS,20000000.0,20000000.0,3,3.0
ANTIOQUIA,SAN PEDRO,6200000.0,3100000.0,3,1.5
ANTIOQUIA,SAN PEDRO DE URABA,35575000.0,11858333.333333334,7,2.3333333333333335
ANTIOQUIA,SAN RAFAEL,11850000.0,5925000.0,6,3.0
ANTIOQUIA,SAN ROQUE,12600000.0,4200000.0,4,1.3333333333333333
ANTIOQUIA,SANTA BARBARA,5000000.0,5000000.0,1,1.0
ANTIOQUIA,SANTA ROSA DE OSOS,27967700.0,5593540.0,9,1.8
ANTIOQUIA,SANTO DOMINGO,1000000.0,1000000.0,1,1.0
ANTIOQUIA,SEGOVIA,28016150.0,14008075.0,9,4.5
ANTIOQUIA,SONSON,41272000.0,13757333.333333334,7,2.3333333333333335
ANTIOQUIA,SOPETRAN,31619506.0,7904876.5,20,5.0
ANTIOQUIA,TAMESIS,4750000.0,4750000.0,2,2.0
ANTIOQUIA,TARAZA,18588000.0,6196000.0,18,6.0
ANTIOQUIA,TARSO,35000000.0,35000000.0,8,8.0
ANTIOQUIA,TITIRIBI,600000.0,600000.0,2,2.0
ANTIOQUIA,TOLEDO,9900000.0,2475000.0,7,1.75
ANTIOQUIA,TURBO,1056270926.0,176045154.33333334,54,9.0
ANTIOQUIA,URAMITA,1000000.0,1000000.0,1,1.0
ANTIOQUIA,VENECIA,70993469.0,35496734.5,23,11.5
ANTIOQUIA,VIGIA DEL FUERTE,56160000.0,28080000.0,8,4.0
ANTIOQUIA,YARUMAL,200000.0,100000.0,2,1.0
ANTIOQUIA,YOLOMBO,25000000.0,25000000.0,2,2.0
ANTIOQUIA,YONDO CASABE,99430984.0,16571830.666666666,44,7.333333333333333
ANTIOQUIA,ZARAGOZA,10500000.0,10500000.0,4,4.0
ARAUCA,ARAUCA,602667192.0,86095313.14285715,88,12.571428571428571
ARAUCA,ARAUQUITA,234343500.0,58585875.0,27,6.75
ARAUCA,CRAVO NORTE,36300000.0,12100000.0,8,2.6666666666666665
ARAUCA,FORTUL,53616095.0,17872031.666666668,19,6.333333333333333
ARAUCA,PUERTO RONDON,13000000.0,6500000.0,9,4.5
ARAUCA,SARAVENA,182127348.0,60709116.0,24,8.0
ARAUCA,TAME,35000000.0,35000000.0,3,3.0
ATLANTICO,BARANOA,42200000.0,8440000.0,17,3.4
ATLANTICO,BARRANQUILLA,577319167.0,144329791.75,47,11.75
ATLANTICO,CAMPO DE LA CRUZ,2000000.0,2000000.0,2,2.0
ATLANTICO,CANDELARIA,2825000.0,565000.0,8,1.6
ATLANTICO,GALAPA,45850000.0,11462500.0,9,2.25
ATLANTICO,JUAN DE ACOSTA,40545017.0,13515005.666666666,10,3.3333333333333335
ATLANTICO,LURUACO,12000000.0,12000000.0,3,3.0
ATLANTICO,MALAMBO,491210989.0,81868498.16666667,32,5.333333333333333
ATLANTICO,MANATI,10980000.0,10980000.0,5,5.0
ATLANTICO,PALMAR DE VARELA,35000000.0,17500000.0,7,3.5
ATLANTICO,PIOJO,1600000.0,800000.0,2,1.0
ATLANTICO,POLONUEVO,12800000.0,6400000.0,3,1.5
ATLANTICO,PONEDERA,100000.0,100000.0,1,1.0
ATLANTICO,PUERTO COLOMBIA,54200000.0,10840000.0,12,2.4
ATLANTICO,REPELON,17000000.0,8500000.0,3,1.5
ATLANTICO,SABANAGRANDE,16475000.0,5491666.666666667,4,1.3333333333333333
ATLANTICO,SABANALARGA,35000000.0,17500000.0,4,2.0
ATLANTICO,SANTA LUCIA,44855017.0,8971003.4,12,2.4
ATLANTICO,SANTO TOMAS,26986496.0,4497749.333333333,17,2.8333333333333335
ATLANTICO,SOLEDAD,900128060.0,180025612.0,28,5.6
ATLANTICO,SUAN,1600000.0,1600000.0,1,1.0
ATLANTICO,TUBARA,51440000.0,17146666.666666668,12,4.0
ATLANTICO,USIACURI,24700000.0,8233333.333333333,6,2.0
BOGOTA D.C.,BOGOTA D.C.,6242422755.0,2080807585.0,778,259.3333333333333
BOLIVAR,ACHI,96283000.0,19256600.0,16,3.2
BOLIVAR,ALTOS DEL ROSARIO,111352400.0,55676200.0,15,7.5
BOLIVAR,ARENAL,31098000.0,7774500.0,16,4.0
BOLIVAR,ARJONA,117800000.0,39266666.666666664,12,4.0
BOLIVAR,ARROYO HONDO,2484348.0,2484348.0,1,1.0
BOLIVAR,BARRANCO DE LOBA,20750000.0,10375000.0,4,2.0
BOLIVAR,CALAMAR,77463017.0,19365754.25,12,3.0
BOLIVAR,CANTAGALLO,40350000.0,10087500.0,5,1.25
BOLIVAR,CARTAGENA,1048775126.78,149825018.11142856,91,13.0
BOLIVAR,CLEMENCIA,16600000.0,8300000.0,5,2.5
BOLIVAR,CORDOBA,18000000.0,18000000.0,1,1.0
BOLIVAR,EL CARMEN DE BOLIVAR,126535000.0,31633750.0,15,3.75
BOLIVAR,EL PEÑON,11000000.0,5500000.0,9,4.5
BOLIVAR,HATILLO DE LOBA,5100000.0,2550000.0,2,1.0
BOLIVAR,MAGANGUE,421000000.0,210500000.0,19,9.5
BOLIVAR,MAHATES,46680000.0,15560000.0,12,4.0
BOLIVAR,MARGARITA,2300000.0,1150000.0,3,1.5
BOLIVAR,MARIA LA BAJA,135000000.0,45000000.0,10,3.3333333333333335
BOLIVAR,MOMPOS,4000000.0,2000000.0,2,1.0
BOLIVAR,MONTECRISTO,74200000.0,18550000.0,10,2.5
BOLIVAR,MORALES,2750000.0,1375000.0,2,1.0
BOLIVAR,NOROSI,500000.0,500000.0,1,1.0
BOLIVAR,PINILLOS,14500000.0,7250000.0,5,2.5
BOLIVAR,REGIDOR,8170000.0,4085000.0,6,3.0
BOLIVAR,SAN CRISTOBAL,1700000.0,850000.0,2,1.0
BOLIVAR,SAN ESTANISLAO,55000000.0,55000000.0,3,3.0
BOLIVAR,SAN FERNANDO,250000.0,250000.0,1,1.0
BOLIVAR,SAN JACINTO,100000.0,100000.0,1,1.0
BOLIVAR,SAN JACINTO DEL CAUCA,77795000.0,38897500.0,9,4.5
BOLIVAR,SAN JUAN NEPOMUCENO,38900000.0,19450000.0,6,3.0
BOLIVAR,SAN MARTIN DE LOBA,20000000.0,6666666.666666667,3,1.0
BOLIVAR,SAN PABLO,57400000.0,28700000.0,10,5.0
BOLIVAR,SANTA CATALINA,53600000.0,26800000.0,11,5.5
BOLIVAR,SANTA ROSA,32390000.0,8097500.0,8,2.0
BOLIVAR,SANTA ROSA DEL SUR,70500000.0,35250000.0,11,5.5
BOLIVAR,SIMITI,22300000.0,7433333.333333333,6,2.0
BOLIVAR,SOPLAVIENTO,18968000.0,4742000.0,8,2.0
BOLIVAR,TALAIGUA NUEVO,20000000.0,20000000.0,2,2.0
BOLIVAR,TURBACO,108580000.0,36193333.333333336,19,6.333333333333333
BOLIVAR,TURBANA,26150000.0,8716666.666666666,5,1.6666666666666667
BOLIVAR,VILLANUEVA,38500000.0,9625000.0,8,2.0
BOLIVAR,ZAMBRANO,64550000.0,32275000.0,8,4.0
BOYACA,ALMEIDA,100000.0,100000.0,1,1.0
BOYACA,ARCABUCO,10000000.0,10000000.0,1,1.0
BOYACA,BELEN,11100000.0,11100000.0,3,3.0
BOYACA,BETEITIVA,1000000.0,1000000.0,1,1.0
BOYACA,BOAVITA,1950000.0,1950000.0,1,1.0
BOYACA,BRICEÑO,300000.0,150000.0,2,1.0
BOYACA,BUENAVISTA,200000.0,200000.0,1,1.0
BOYACA,CALDAS,200000.0,200000.0,1,1.0
BOYACA,CAMPOHERMOSO,400000.0,400000.0,1,1.0
BOYACA,CERINZA,500000.0,250000.0,2,1.0
BOYACA,CHINAVITA,400000.0,400000.0,1,1.0
BOYACA,CHIQUINQUIRA,160705900.0,40176475.0,63,15.75
BOYACA,CHITARAQUE,30500000.0,15250000.0,4,2.0
BOYACA,CHIVATA,200000.0,200000.0,2,2.0
BOYACA,CHIVOR,3000000.0,3000000.0,1,1.0
BOYACA,COPER,4500400.0,2250200.0,6,3.0
BOYACA,COVARACHIA,850000.0,850000.0,1,1.0
BOYACA,CUBARA,35550000.0,35550000.0,3,3.0
BOYACA,DUITAMA,21901096.0,7300365.333333333,8,2.6666666666666665
BOYACA,EL COCUY,150000.0,150000.0,1,1.0
BOYACA,FIRAVITOBA,800000.0,800000.0,2,2.0
BOYACA,GAMEZA,1500000.0,1500000.0,2,2.0
BOYACA,GUAYATA,9000000.0,4500000.0,4,2.0
BOYACA,GUICAN,900000.0,900000.0,1,1.0
BOYACA,IZA,500000.0,500000.0,2,2.0
BOYACA,LA CAPILLA,1300000.0,650000.0,2,1.0
BOYACA,LA UVITA,200000.0,200000.0,1,1.0
BOYACA,LA VICTORIA,100000.0,100000.0,1,1.0
BOYACA,MACANAL,80000000.0,80000000.0,2,2.0
BOYACA,MIRAFLORES,14600000.0,7300000.0,7,3.5
BOYACA,MONGUI,12000000.0,12000000.0,2,2.0
BOYACA,MONIQUIRA,9000000.0,9000000.0,1,1.0
BOYACA,MOTAVITA,606900.0,606900.0,1,1.0
BOYACA,MUZO,500000.0,500000.0,1,1.0
BOYACA,NOBSA,25778000.0,12889000.0,11,5.5
BOYACA,OICATA,1689698.0,844849.0,2,1.0
BOYACA,OTANCHE,600000.0,600000.0,1,1.0
BOYACA,PACHAVITA,400000.0,400000.0,1,1.0
BOYACA,PAEZ,200000.0,200000.0,1,1.0
BOYACA,PAIPA,83500000.0,41750000.0,22,11.0
BOYACA,PESCA,5000000.0,5000000.0,1,1.0
BOYACA,PISBA,45096140.0,15032046.666666666,16,5.333333333333333
BOYACA,PUERTO BOYACA,225384712.0,56346178.0,24,6.0
BOYACA,QUIPAMA,600000.0,600000.0,1,1.0
BOYACA,RAQUIRA,1000000.0,1000000.0,1,1.0
BOYACA,RONDON,10000000.0,10000000.0,1,1.0
BOYACA,SAN JOSE DE PARE,1500000.0,1500000.0,1,1.0
BOYACA,SANTA ROSA DE VITERBO,4350000.0,2175000.0,2,1.0
BOYACA,SANTA SOFIA,150000.0,150000.0,1,1.0
BOYACA,SANTANA,12000000.0,12000000.0,2,2.0
BOYACA,SATIVASUR,1000000.0,1000000.0,1,1.0
BOYACA,SIACHOQUE,10000000.0,10000000.0,1,1.0
BOYACA,SOCOTA,500000.0,250000.0,2,1.0
BOYACA,SOGAMOSO,138628958.0,27725791.6,19,3.8
BOYACA,SORA,350000.0,350000.0,1,1.0
BOYACA,SORACA,450000.0,450000.0,1,1.0
BOYACA,SUSACON,2000000.0,2000000.0,1,1.0
BOYACA,SUTAMARCHAN,33150000.0,33150000.0,18,18.0
BOYACA,SUTATENZA,30020000.0,30020000.0,2,2.0
BOYACA,TENZA,200000.0,200000.0,2,2.0
BOYACA,TOGUI,22300000.0,11150000.0,13,6.5
BOYACA,TOPAGA,200000.0,200000.0,1,1.0
BOYACA,TOTA,500000.0,500000.0,1,1.0
BOYACA,TUNJA,481941997.0,80323666.16666667,153,25.5
BOYACA,TUTAZA,3000000.0,3000000.0,1,1.0
BOYACA,UMBITA,900000.0,900000.0,1,1.0
BOYACA,VENTAQUEMADA,16878000.0,5626000.0,5,1.6666666666666667
BOYACA,VILLA DE LEIVA,101343558.0,25335889.5,27,6.75
CALDAS,AGUADAS,11800000.0,3933333.3333333335,3,1.0
CALDAS,ANSERMA,15600000.0,7800000.0,5,2.5
CALDAS,ARANZAZU,18000000.0,9000000.0,5,2.5
CALDAS,BELALCAZAR,12980000.0,6490000.0,4,2.0
CALDAS,CHINCHINA,151670480.0,30334096.0,33,6.6
CALDAS,FILADELFIA,10900000.0,3633333.3333333335,4,1.3333333333333333
CALDAS,LA DORADA,481701800.0,80283633.33333333,29,4.833333333333333
CALDAS,LA MERCED,2100000.0,700000.0,3,1.0
CALDAS,MANIZALES,627267812.0,156816953.0,32,8.0
CALDAS,MANZANARES,13700000.0,13700000.0,4,4.0
CALDAS,MARMATO,450000.0,150000.0,3,1.0
CALDAS,MARQUETALIA,32200000.0,10733333.333333334,8,2.6666666666666665
CALDAS,MARULANDA,700000.0,700000.0,2,2.0
CALDAS,NEIRA,100000.0,100000.0,1,1.0
CALDAS,NORCASIA,27595997.0,13797998.5,10,5.0
CALDAS,PACORA,21000000.0,21000000.0,3,3.0
CALDAS,PALESTINA,20660000.0,5165000.0,7,1.75
CALDAS,PENSILVANIA,49000000.0,49000000.0,5,5.0
CALDAS,RIOSUCIO,46500000.0,23250000.0,8,4.0
CALDAS,SALAMINA,2400000.0,1200000.0,3,1.5
CALDAS,SAMANA,34000000.0,17000000.0,14,7.0
CALDAS,SUPIA,7500000.0,2500000.0,3,1.0
CALDAS,VICTORIA,25600000.0,8533333.333333334,5,1.6666666666666667
CALDAS,VILLAMARIA,3350000.0,670000.0,6,1.2
CALDAS,VITERBO,1250000.0,1250000.0,1,1.0
CAQUETA,ALBANIA,13112400.0,6556200.0,4,2.0
CAQUETA,BELEN DE LOS ANDAQUIES,30700000.0,15350000.0,6,3.0
CAQUETA,CARTAGENA DEL CHAIRA,96450000.0,32150000.0,12,4.0
CAQUETA,CURILLO,20600000.0,5150000.0,16,4.0
CAQUETA,EL DONCELLO,12018000.0,6009000.0,7,3.5
CAQUETA,EL PAUJIL,5800000.0,5800000.0,2,2.0
CAQUETA,FLORENCIA,203506088.0,50876522.0,27,6.75
CAQUETA,LA MONTAÑITA,500000.0,500000.0,1,1.0
CAQUETA,MILAN,16000000.0,16000000.0,2,2.0
CAQUETA,PUERTO RICO,8500000.0,2833333.3333333335,4,1.3333333333333333
CAQUETA,SAN JOSE DEL FRAGUA,7100000.0,3550000.0,3,1.5
CAQUETA,SAN VICENTE DEL CAGUAN,67849860.0,16962465.0,14,3.5
CAQUETA,SOLANO,29982300.0,9994100.0,7,2.3333333333333335
CAQUETA,SOLITA,13357000.0,6678500.0,4,2.0
CAQUETA,VALPARAISO,16300000.0,4075000.0,11,2.75
CASANARE,AGUAZUL,15896700.0,5298900.0,7,2.3333333333333335
CASANARE,CHAMEZA,24000000.0,24000000.0,3,3.0
CASANARE,HATO COROZAL,121915000.0,20319166.666666668,124,20.666666666666668
CASANARE,LA SALINA,6500000.0,6500000.0,3,3.0
CASANARE,MANI,85882230.0,28627410.0,18,6.0
CASANARE,MONTERREY,42758656.0,7126442.666666667,27,4.5
CASANARE,NUNCHIA,67450000.0,16862500.0,16,4.0
CASANARE,OROCUE,2000000.0,2000000.0,2,2.0
CASANARE,PAZ DE ARIPORO (MORENO),46864000.0,23432000.0,69,34.5
CASANARE,PORE,14200000.0,4733333.333333333,5,1.6666666666666667
CASANARE,RECETOR,25850000.0,12925000.0,7,3.5
CASANARE,SABANALARGA,7930000.0,3965000.0,2,1.0
CASANARE,SACAMA,38400000.0,19200000.0,11,5.5
CASANARE,SAN LUIS DE PALENQUE,40600000.0,40600000.0,5,5.0
CASANARE,TAMARA,32150000.0,32150000.0,13,13.0
CASANARE,TAURAMENA,103750000.0,25937500.0,20,5.0
CASANARE,TRINIDAD,27700000.0,9233333.333333334,5,1.6666666666666667
CASANARE,VILLANUEVA,22000000.0,11000000.0,7,3.5
CASANARE,YOPAL,392878347.82,78575669.564,49,9.8
CAUCA,ALMAGUER,14000000.0,4666666.666666667,5,1.6666666666666667
CAUCA,ARGELIA,83100000.0,41550000.0,14,7.0
CAUCA,BALBOA,13500000.0,13500000.0,4,4.0
CAUCA,BOLIVAR,20100000.0,6700000.0,5,1.6666666666666667
CAUCA,CAJIBIO,21200000.0,10600000.0,7,3.5
CAUCA,CALDONO,24049750.0,12024875.0,10,5.0
CAUCA,CALOTO,115820150.0,23164030.0,18,3.6
CAUCA,CORINTO,17061300.0,5687100.0,6,2.0
CAUCA,EL TAMBO,6000000.0,2000000.0,4,1.3333333333333333
CAUCA,FLORENCIA,33000000.0,33000000.0,5,5.0
CAUCA,GUACHENE,31650000.0,15825000.0,5,2.5
CAUCA,GUAPI,9700000.0,3233333.3333333335,5,1.6666666666666667
CAUCA,INZA,56500000.0,18833333.333333332,11,3.6666666666666665
CAUCA,LA SIERRA,53500000.0,13375000.0,12,3.0
CAUCA,LA VEGA,6500000.0,6500000.0,3,3.0
CAUCA,MERCADERES,18093000.0,9046500.0,4,2.0
CAUCA,MIRANDA,43500000.0,43500000.0,12,12.0
CAUCA,MORALES,15509000.0,5169666.666666667,6,2.0
CAUCA,PADILLA,8000000.0,2666666.6666666665,3,1.0
CAUCA,PAEZ (BELALCAZAR),300000.0,150000.0,2,1.0
CAUCA,PATIA (EL BORDO),38980000.0,9745000.0,14,3.5
CAUCA,PIAMONTE,43716353.0,21858176.5,15,7.5
CAUCA,PIENDAMO,125800000.0,25160000.0,19,3.8
CAUCA,POPAYAN,403031649.0,80606329.8,40,8.0
CAUCA,PUERTO TEJADA,48589900.0,9717980.0,16,3.2
CAUCA,PURACE (COCONUCO),15980000.0,5326666.666666667,4,1.3333333333333333
CAUCA,ROSAS,5000000.0,2500000.0,4,2.0
CAUCA,SAN SEBASTIAN,2090000.0,1045000.0,2,1.0
CAUCA,SANTA ROSA,2220000.0,2220000.0,1,1.0
CAUCA,SANTANDER DE QUILICHAO,95307000.0,31769000.0,10,3.3333333333333335
CAUCA,SILVIA,131739095.0,26347819.0,30,6.0
CAUCA,SUAREZ,4825000.0,1608333.3333333333,3,1.0
CAUCA,SUCRE,8284348.0,4142174.0,4,2.0
CAUCA,TIMBIO,31500000.0,5250000.0,13,2.1666666666666665
CAUCA,TIMBIQUI,47200000.0,11800000.0,10,2.5
CAUCA,TORIBIO,27000000.0,9000000.0,7,2.3333333333333335
CAUCA,TOTORO,15000000.0,15000000.0,2,2.0
CAUCA,VILLA RICA,66400000.0,33200000.0,3,1.5
CESAR,AGUACHICA,312040000.0,62408000.0,24,4.8
CESAR,AGUSTIN CODAZZI,60080919.0,15020229.75,18,4.5
CESAR,ASTREA,5000000.0,5000000.0,1,1.0
CESAR,BECERRIL,103831177.0,25957794.25,19,4.75
CESAR,BOSCONIA,110700000.0,27675000.0,14,3.5
CESAR,CHIMICHAGUA,21400000.0,10700000.0,7,3.5
CESAR,CHIRIGUANA,55880017.0,27940008.5,8,4.0
CESAR,CURUMANI,75530000.0,25176666.666666668,12,4.0
CESAR,EL COPEY,15450000.0,7725000.0,5,2.5
CESAR,EL PASO,16200000.0,3240000.0,6,1.2
CESAR,LA GLORIA,108738250.0,21747650.0,13,2.6
CESAR,LA JAGUA DE IBIRICO,120150000.0,60075000.0,13,6.5
CESAR,LA PAZ,43650000.0,43650000.0,9,9.0
CESAR,MANAURE BALCON DEL CESAR (MANA,20000000.0,10000000.0,3,1.5
CESAR,PELAYA,25350000.0,8450000.0,7,2.3333333333333335
CESAR,PUEBLO BELLO,33050000.0,16525000.0,5,2.5
CESAR,SAN ALBERTO,100000.0,100000.0,1,1.0
CESAR,SAN DIEGO,61764500.0,20588166.666666668,12,4.0
CESAR,SAN MARTIN,5800000.0,5800000.0,1,1.0
CESAR,TAMALAMEQUE,7360900.0,7360900.0,3,3.0
CESAR,VALLEDUPAR,631584841.0,126316968.2,20,4.0
CHOCO,ACANDI,67125000.0,22375000.0,6,2.0
CHOCO,ALTO BAUDO (PIE DE PATO),11200000.0,5600000.0,2,1.0
CHOCO,ATRATO (YUTO),75250000.0,37625000.0,5,2.5
CHOCO,BAGADO,78300000.0,26100000.0,12,4.0
CHOCO,BAHIA SOLANO (MUTIS),74200000.0,37100000.0,10,5.0
CHOCO,BAJO BAUDO (PIZARRO),5000000.0,2500000.0,3,1.5
CHOCO,BOJAYA (BELLAVISTA),41500000.0,41500000.0,5,5.0
CHOCO,CARMEN DEL DARIEN,84512000.0,21128000.0,12,3.0
CHOCO,CERTEGUI,27000000.0,13500000.0,3,1.5
CHOCO,CONDOTO,113500000.0,37833333.333333336,13,4.333333333333333
CHOCO,EL CANTON DEL SAN PABLO (MAN.,6000000.0,6000000.0,1,1.0
CHOCO,EL CARMEN,67010000.0,11168333.333333334,22,3.6666666666666665
CHOCO,EL LITORAL DEL SAN JUAN,8750000.0,8750000.0,1,1.0
CHOCO,JURADO,28470000.0,28470000.0,4,4.0
CHOCO,LLORO,73073836.0,36536918.0,9,4.5
CHOCO,MEDIO ATRATO (BETE),1000000.0,1000000.0,2,2.0
CHOCO,MEDIO BAUDO (PUERTO MELUK),12700000.0,6350000.0,2,1.0
CHOCO,MEDIO SAN JUAN,97152000.0,24288000.0,9,2.25
CHOCO,NOVITA,58000000.0,29000000.0,7,3.5
CHOCO,NUQUI,25401591.0,12700795.5,3,1.5
CHOCO,QUIBDO,144000000.0,36000000.0,10,2.5
CHOCO,RIO QUITO (PAIMADO),10800000.0,3600000.0,3,1.0
CHOCO,RIOSUCIO,7500000.0,2500000.0,3,1.0
CHOCO,SAN JOSE DEL PALMAR,400000.0,200000.0,2,1.0
CHOCO,SIPI,70300000.0,23433333.333333332,8,2.6666666666666665
CHOCO,TADO,500000.0,500000.0,1,1.0
CHOCO,UNGUIA,113048000.0,56524000.0,18,9.0
CHOCO,UNION PANAMERICANA (LAS ANIMAS),80640436.0,40320218.0,5,2.5
CORDOBA,AYAPEL,17400000.0,5800000.0,5,1.6666666666666667
CORDOBA,BUENAVISTA,6500000.0,6500000.0,2,2.0
