corp,dpto,name,party,wp_no
Asamblea,VICHADA,JULIANA MARGARITA DEL VALLE BRITO GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3669
Asamblea,VICHADA,KENNEDY  SANCHEZ GODOY,PARTIDO LIBERAL COLOMBIANO,3559
Asamblea,VICHADA,LAURA NATALY VILLAMIL QUEVEDO,PARTIDO LIBERAL COLOMBIANO,3562
Asamblea,VICHADA,LEIDY CAROLINA SOLER CENDALES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3648
Asamblea,VICHADA,LEONCIO  GARCIA GALINDO,PARTIDO COLOMBIA JUSTA LIBRES,3598
Asamblea,VICHADA,LEYLA ESPERANZA TARAZONA PERUCHO,PARTIDO ALIANZA VERDE,3638
Asamblea,VICHADA,LIBARDO  RINCON GAITAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3645
Asamblea,VICHADA,LIZA MARIE BARRIENTOS GOMEZ,PARTIDO CAMBIO RADICAL,3627
Asamblea,VICHADA,LOIDA  PEREZ PUERTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3672
Asamblea,VICHADA,LUIS ALBERTO CABARE ,PARTIDO COLOMBIA RENACIENTE,3606
Asamblea,VICHADA,LUIS ALEJANDRO GAITAN ,PARTIDO CAMBIO RADICAL,3625
Asamblea,VICHADA,LUIS ALFREDO MOSQUERA PAREDES,PARTIDO CENTRO DEMOCRATICO,3571
Asamblea,VICHADA,LUIS ANGEL GAITAN CATIMAY,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,3590
Asamblea,VICHADA,LUIS ANGEL PONARE GAITAN,PARTIDO ALIANZA VERDE,3634
Asamblea,VICHADA,LUIS HERNANDO GAITAN MONTOYA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,3592
Asamblea,VICHADA,LUZ AYDA HERRERA SALCEDO,PARTIDO CONSERVADOR COLOMBIANO,3619
Asamblea,VICHADA,LUZ DARY BRAVO JIMENEZ,PARTIDO ALIANZA VERDE,3639
Asamblea,VICHADA,LUZ MERY GALINDO MONROY,PARTIDO COLOMBIA RENACIENTE,3605
Asamblea,VICHADA,MARIA CRISLEIDY PONARE LAROSA,PARTIDO COLOMBIA RENACIENTE,3610
Asamblea,VICHADA,MARIA ESTELLA GAITAN GALVIZ,PARTIDO COLOMBIA RENACIENTE,3607
Asamblea,VICHADA,MARIA NEUSA RODRIGUEZ URREA,PARTIDO CAMBIO RADICAL,3630
Asamblea,VICHADA,MARTHA CELIA SALGADO CUELLAR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3587
Asamblea,VICHADA,MARTHA LUCIA PEREZ HERNANDEZ,PARTIDO CAMBIO RADICAL,3626
Asamblea,VICHADA,MARTHA MAGALY SILVA LEYTON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3674
Asamblea,VICHADA,NARCISO  BAQUERO SANCHEZ,PARTIDO ALIANZA VERDE,3643
Asamblea,VICHADA,OLEGARIO  BONILLA ORDOÑEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3585
Asamblea,VICHADA,OLIMPO  CARDENAS HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,3621
Asamblea,VICHADA,OSCAR JONATHAN BUITRAGO REQUINIBA,PARTIDO CONSERVADOR COLOMBIANO,3618
Asamblea,VICHADA,PABLO  RODRIGUEZ HERNANDEZ,PARTIDO COLOMBIA RENACIENTE,3611
Asamblea,VICHADA,PABLO ALEXANDER NEITA TARACHE,PARTIDO LIBERAL COLOMBIANO,3566
Asamblea,VICHADA,PAULA ANDREA GONZALEZ MACHACARE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3581
Asamblea,VICHADA,PEDRO  MENDEZ RODRIGUEZ,PARTIDO COLOMBIA JUSTA LIBRES,3596
Asamblea,VICHADA,PEDRO ALEJANDRO CORREA LOMBANA,PARTIDO LIBERAL COLOMBIANO,3567
Asamblea,VICHADA,PITERSON RAFAEL BELTRAN VELEZ,PARTIDO CENTRO DEMOCRATICO,3578
Asamblea,VICHADA,RECNY JOEL NIÑO MOYETON,PARTIDO COLOMBIA JUSTA LIBRES,3599
Asamblea,VICHADA,RICARDO  JIMENEZ CHAMARRAVI,PARTIDO ALIANZA VERDE,3642
Asamblea,VICHADA,ROSALBA  OTALORA MANCIPE,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,3594
Asamblea,VICHADA,RUBEN DARIO GOMEZ SOLANO,PARTIDO ALIANZA VERDE,3635
Asamblea,VICHADA,SAMUEL  PEREZ PUERTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3657
Asamblea,VICHADA,SERGIO AUGUSTO SOSA NARANJO,PARTIDO COLOMBIA JUSTA LIBRES,3597
Asamblea,VICHADA,SILVIA MARIA ECHAVARRIA BENITEZ,PARTIDO ALIANZA VERDE,3640
Asamblea,VICHADA,SURLEY  BELTRAN VELEZ,PARTIDO CENTRO DEMOCRATICO,3574
Asamblea,VICHADA,VIRGINIA TERESA VARGAS SALCEDO,PARTIDO ALIANZA VERDE,3641
Asamblea,VICHADA,VLADIMIR ENRIQUE DIAZ QUIROZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3660
Asamblea,VICHADA,WILINTON  LAGUNA VILLEGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3676
Asamblea,VICHADA,WILSON  ARIAS GAITAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3663
Asamblea,VICHADA,WILSON  RESTREPO CARDONA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3664
Asamblea,VICHADA,YAROSLAY  REYES MORALES,PARTIDO LIBERAL COLOMBIANO,3564
Asamblea,VICHADA,YENCELI  ARIZA ,PARTIDO CONSERVADOR COLOMBIANO,3617
Asamblea,VICHADA,YINET MARITZA CABRERA OCHOA,PARTIDO CENTRO DEMOCRATICO,3575
Asamblea,VICHADA,YOLMAN ADEL PIDIACHE TIVADUIZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3673
Asamblea,VICHADA,ZURIMA  GAITAN GONZALEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,3653
