corp,dpto,name,party,wp_no
Asamblea,ARAUCA,MIGUEL ESTEBAN ARCINIEGAS TALERO,PARTIDO ALIANZA VERDE,2244
Asamblea,ARAUCA,MYRIAM CONSTANZA CRISTIANO NUÑEZ,PARTIDO CAMBIO RADICAL,2238
Asamblea,ARAUCA,NASLY YULITZA MANTILLA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2268
Asamblea,ARAUCA,NEFFER GRISEL QUEVEDO MEJIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2204
Asamblea,ARAUCA,NESTOR FABIAN COTRINA SORIANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2263
Asamblea,ARAUCA,NINI JOHANA CARDOZO DUEÑAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2262
Asamblea,ARAUCA,ODILIO ALBERTO RAMIREZ RINCON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2200
Asamblea,ARAUCA,OLIBARDO  MESA CORREA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,2260
Asamblea,ARAUCA,ORLANDO  ARDILA TORRES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2251
Asamblea,ARAUCA,ORLANDO  BARAHONA RENDON,PARTIDO CONSERVADOR COLOMBIANO,2222
Asamblea,ARAUCA,ORLANDO  NIÑO VILLAMIZAR,PARTIDO CENTRO DEMOCRATICO,2191
Asamblea,ARAUCA,ORLANDO  VIVEROS GUAZA,PARTIDO ADA,2213
Asamblea,ARAUCA,PABLO EMILIO ROJAS PALMA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2252
Asamblea,ARAUCA,PEDRO JOSE GARNICA VILLALBA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2207
Asamblea,ARAUCA,RAUL ALEJANDRO VAGEON LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,2219
Asamblea,ARAUCA,RAUL EDUARDO GARCIA GOMEZ,ALTERNATIVA ARAUCANA,2274
Asamblea,ARAUCA,REGULO ANTONIO CORREA REUTO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2253
Asamblea,ARAUCA,REINALDO  ROMAÑA AGUALIMPIA,ALTERNATIVA ARAUCANA,2271
Asamblea,ARAUCA,RIGOBERTO  MECHE ,PARTIDO ALIANZA VERDE,2242
Asamblea,ARAUCA,ROBERTO MARTIN VERA ,PARTIDO ALIANZA VERDE,2243
Asamblea,ARAUCA,ROBINSON  FLOREZ LEON,PARTIDO COLOMBIA JUSTA LIBRES,2208
Asamblea,ARAUCA,ROSMERY  CASTILLO LEON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2256
Asamblea,ARAUCA,RUDDY ISMAEL TOVAR VARGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,2258
Asamblea,ARAUCA,SAMIR ENRIQUE CASTILLO VARGAS,PARTIDO COLOMBIA JUSTA LIBRES,2210
Asamblea,ARAUCA,SOFIA  BUITRAGO TEGRIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2206
Asamblea,ARAUCA,SONIA ROCIO GOMEZ PULIDO,PARTIDO ADA,2215
Asamblea,ARAUCA,WIDIN ALBERTO NAVARRO GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2198
Asamblea,ARAUCA,WILFERD JHOAN SALAZAR VACCA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,2197
Asamblea,ARAUCA,WILINTON  RODRIGUEZ BENAVIDEZ,PARTIDO CAMBIO RADICAL,2232
Asamblea,ARAUCA,WILSON  CARRILLO ANTOLINEZ,ALTERNATIVA ARAUCANA,2276
Asamblea,ARAUCA,WISMAN  CASTAÑEDA ALFONSO,ALTERNATIVA ARAUCANA,2281
Asamblea,ARAUCA,YANETH ANDREINA PEREZ CERON,PARTIDO ADA,2214
Asamblea,ARAUCA,YANNETH  ARANGUREN CHAPARRO,PARTIDO LIBERAL COLOMBIANO,2183
Asamblea,ARAUCA,YENNY  ROJAS ALAPE,PARTIDO ALIANZA VERDE,2247
