corp,dpto,name,party,wp_no
Asamblea,BOYACA,NEDDY ESTHER SANDOVAL FIGUEREDO,PARTIDO LIBERAL COLOMBIANO,3424
Asamblea,BOYACA,NELSON MAURICIO RODRIGUEZ PEREZ,PARTIDO CONSERVADOR COLOMBIANO,3486
Asamblea,BOYACA,NELSY YOLANDA RIVERA FERRUCHO,BOYACA DECENTE,3550
Asamblea,BOYACA,NEREO  BARON TELLEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3452
Asamblea,BOYACA,NORMAN DE JESUS QUINTERO GALLEGO,PARTIDO CONSERVADOR COLOMBIANO,3481
Asamblea,BOYACA,OLGA  NIÑO ROJAS,PARTIDO CENTRO DEMOCRATICO,3439
Asamblea,BOYACA,OMAR FERNANDO VALDERRAMA BAEZ,PARTIDO CENTRO DEMOCRATICO,3437
Asamblea,BOYACA,OMAR HUMBERTO VILLAMIL MUNEVAR,PARTIDO CONSERVADOR COLOMBIANO,3484
Asamblea,BOYACA,ORLANDO  FLOREZ CUERVO,PARTIDO CENTRO DEMOCRATICO,3438
Asamblea,BOYACA,OSCAR LEONARDO MONTAÑEZ SIERRA,PARTIDO CAMBIO RADICAL,3487
Asamblea,BOYACA,PABLO ANTONIO ZAMBRANO SALAMANCA,PARTIDO CONSERVADOR COLOMBIANO,3480
Asamblea,BOYACA,PEDRO HUMBERTO VARGAS GOMEZ,PARTIDO LIBERAL COLOMBIANO,3425
Asamblea,BOYACA,PEDRO PABLO SALAS HERNANDEZ,PARTIDO ALIANZA VERDE,3503
Asamblea,BOYACA,RICARDO ALONSO ROJAS SACHICA,PARTIDO ALIANZA VERDE,3510
Asamblea,BOYACA,RICARDO ANDRES ESPAÑOL TEATINO,PARTIDO LIBERAL COLOMBIANO,3427
Asamblea,BOYACA,ROMAN HERNANDO ORTEGA HERNANDEZ,PARTIDO ALIANZA VERDE,3516
Asamblea,BOYACA,SANDRA MILENA RAMIREZ MORENO,PARTIDO CAMBIO RADICAL,3492
Asamblea,BOYACA,SANDRA PATRICIA CONTRERAS SOTO,PARTIDO LIBERAL COLOMBIANO,3428
Asamblea,BOYACA,SANDRA PATRICIA RICAURTE ESPINEL,PARTIDO CAMBIO RADICAL,3499
Asamblea,BOYACA,SEGUNDO FIDEL SALAZAR GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3535
Asamblea,BOYACA,SERGIO  CABRA SIERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3532
Asamblea,BOYACA,SIERVO YESITH GONZALEZ SAAVEDRA,PARTIDO CAMBIO RADICAL,3491
Asamblea,BOYACA,SONIA ESPERANZA LOPEZ BARRERA,PARTIDO CONSERVADOR COLOMBIANO,3475
Asamblea,BOYACA,ULDARICO JAVIER RAMIREZ CHILITO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3459
Asamblea,BOYACA,VICTOR TULIO RAMIREZ GUTIERREZ,BOYACA DECENTE,3557
Asamblea,BOYACA,VIVIAN CATHERIN ALVAREZ ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3529
Asamblea,BOYACA,WILDER IVAN SUESCA OCHOA,PARTIDO CENTRO DEMOCRATICO,3444
Asamblea,BOYACA,WILKINS FERNANDO CHAPARRO CUERVO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,3518
Asamblea,BOYACA,WILLIAM  CHAPARRO RODRIGUEZ,BOYACA DECENTE,3558
Asamblea,BOYACA,WILLIAM RODOLFO MESA AVELLA,PARTIDO CENTRO DEMOCRATICO,3436
Asamblea,BOYACA,WILLIAN DAVID PABON JIMENEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,3531
Asamblea,BOYACA,WILTON FREDY CASTRO SILVA,PARTIDO ALIANZA VERDE,3511
Asamblea,BOYACA,YADITH MILENA MARTINEZ FARFAN,PARTIDO CENTRO DEMOCRATICO,3440
Asamblea,BOYACA,YAMIR OSWALDO LOPEZ PEÑA,PARTIDO ALIANZA VERDE,3501
Asamblea,BOYACA,YURY NEILL DIAZ ARANGUREN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,3450
