corp,dpto,name,party,wp_no
Asamblea,CHOCO,MILTON ELEAZAR MORENO LEMOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,903
Asamblea,CHOCO,NAFFY YULIETT CAMPAÑA PALACIOS,PARTIDO CONSERVADOR COLOMBIANO,878
Asamblea,CHOCO,NANCY ARCENIO RENTERIA TAPIA,PARTIDO ADA,865
Asamblea,CHOCO,OSCAR YAHIR RENTERIA GUARDIA,PARTIDO COLOMBIA RENACIENTE,853
Asamblea,CHOCO,PIEDAD  LAGAREJO VARGAS,PARTIDO LIBERAL COLOMBIANO,823
Asamblea,CHOCO,POMPEYO  PAZ CUESTA,PARTIDO LIBERAL COLOMBIANO,828
Asamblea,CHOCO,ROCIRYS  RENTERIA RAMIREZ,PARTIDO LIBERAL COLOMBIANO,827
Asamblea,CHOCO,ROSA ASUNCION PINO CAICEDO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,916
Asamblea,CHOCO,SANDRA TATIANA PALACIOS MATURANA,PARTIDO LIBERAL COLOMBIANO,831
Asamblea,CHOCO,SATURNINA  CUESTA PALACIOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,839
Asamblea,CHOCO,SOCRATE  KURY PEREA,PARTIDO LIBERAL COLOMBIANO,822
Asamblea,CHOCO,SODATH  SANCHEZ CUESTA,PARTIDO ADA,863
Asamblea,CHOCO,TIBISAYS DEL CARMEN FIGUEROA MONTERROSA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,911
Asamblea,CHOCO,TIRSO  PEREA CORDOBA,PARTIDO COLOMBIA RENACIENTE,851
Asamblea,CHOCO,VICTOR ISAIAS PALACIOS MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,908
Asamblea,CHOCO,WILFRIDO  BERMUDEZ MOSQUERA,PARTIDO COLOMBIA RENACIENTE,858
Asamblea,CHOCO,WILLIAM STIWAR MARTINEZ BECERRA,PARTIDO ADA,868
