corp,dpto,name,party,wp_no
Asamblea,CUNDINAMARCA,LEONARDO  LAGUNA REYES,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,803
Asamblea,CUNDINAMARCA,LEONEL  SANCHEZ ARIAS,PARTIDO COLOMBIA JUSTA LIBRES,729
Asamblea,CUNDINAMARCA,LEYDI MARCELA RODRIGUEZ CRUZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,778
Asamblea,CUNDINAMARCA,LILIAN LUCERO QUINTERO SUAREZ,PARTIDO CENTRO DEMOCRATICO,722
Asamblea,CUNDINAMARCA,LILIANA MARIA NAVARRO ARDILA,PARTIDO CENTRO DEMOCRATICO,725
Asamblea,CUNDINAMARCA,LISYENY  LOPEZ SALAZAR,PARTIDO CENTRO DEMOCRATICO,721
Asamblea,CUNDINAMARCA,LUIS ALFONSO AGUDELO IBAÑEZ,CUNDINAMARCA HUMANA Y ALTERNATIVA,819
Asamblea,CUNDINAMARCA,LUIS AROLDO ULLOA LINARES,PARTIDO CAMBIO RADICAL,753
Asamblea,CUNDINAMARCA,LUZ AMANDA GARCIA GRACIA,PARTIDO CAMBIO RADICAL,761
Asamblea,CUNDINAMARCA,LUZ MARIBEL RODRIGUEZ SOLER,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,797
Asamblea,CUNDINAMARCA,LUZ MARINA CARDENAS RICO,PARTIDO CAMBIO RADICAL,764
Asamblea,CUNDINAMARCA,LUZ MARITZA RODRIGUEZ ANDRADE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,795
Asamblea,CUNDINAMARCA,LUZ MILA RIVERA SANABRIA,PARTIDO LIBERAL COLOMBIANO,697
Asamblea,CUNDINAMARCA,MARGARITA  GOMEZ ACEVEDO,PARTIDO ALIANZA VERDE,775
Asamblea,CUNDINAMARCA,MARIA ANGELICA GOMEZ LOPEZ,PARTIDO ALIANZA VERDE,767
Asamblea,CUNDINAMARCA,MARINO  SANCHEZ AGUILAR,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,748
Asamblea,CUNDINAMARCA,MARTHA SIRLEY GONZALEZ ZAPATA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,780
Asamblea,CUNDINAMARCA,MIGUEL ANTONIO CUBILLOS MORA,PARTIDO COLOMBIA RENACIENTE,738
Asamblea,CUNDINAMARCA,MILLER ADOLFO ROJAS CAMPOS,PARTIDO CENTRO DEMOCRATICO,717
Asamblea,CUNDINAMARCA,MIREYA  RAMIREZ PULIDO,PARTIDO COLOMBIA RENACIENTE,739
Asamblea,CUNDINAMARCA,MIREYA MARIA OCHOA RIAÑO,PARTIDO CENTRO DEMOCRATICO,713
Asamblea,CUNDINAMARCA,NANCY PATRICIA VENEGAS GUALTEROS,PARTIDO CAMBIO RADICAL,766
Asamblea,CUNDINAMARCA,NELSON MAURICIO MELO MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,781
Asamblea,CUNDINAMARCA,NESTOR ANDRES REYES GUEVARA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,783
Asamblea,CUNDINAMARCA,NESTOR FERNANDO HERNANDEZ HERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,792
Asamblea,CUNDINAMARCA,NUMAEL AUGUSTO GONZALEZ SALGUERO,PARTIDO CAMBIO RADICAL,763
Asamblea,CUNDINAMARCA,OMAR ANTONIO MARTINEZ OVALLE,PARTIDO COLOMBIA JUSTA LIBRES,727
Asamblea,CUNDINAMARCA,OMAR EFRAIN TORRIJOS CALDAS,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,813
Asamblea,CUNDINAMARCA,ORLANDO FABIO VILLARREAL MARTINEZ,PARTIDO COLOMBIA JUSTA LIBRES,735
Asamblea,CUNDINAMARCA,OSCAR  CARBONELL RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,794
Asamblea,CUNDINAMARCA,OSCAR FERNANDO CASTILLO BARRANTES,PARTIDO LIBERAL COLOMBIANO,702
Asamblea,CUNDINAMARCA,PATRICIA  TRIVIÑO PEREZ,PARTIDO ALIANZA VERDE,773
Asamblea,CUNDINAMARCA,PEDRO ALEJANDRO DAMIAN LEON,PARTIDO COLOMBIA JUSTA LIBRES,728
Asamblea,CUNDINAMARCA,PEDRO ANIBAL CARDENAS VELEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,796
